# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	28435
#@/user_id	516707f7-e92f-42e4-8734-b63a89fcc6a2
a 	啊	c=182 d=3.99624 t=28384
ceng 	蹭	c=1 d=1 t=25206
cha 	叉	c=1 d=1 t=21842
cha 	差	c=9 d=1 t=21561
cha 	查	c=16 d=1.00181 t=25192
cha bu duo 	差不多	c=7 d=1.52205 t=21261
cha bu liao 	差不了	c=1 d=1 t=17743
cha dao 	查到	c=2 d=1 t=20709
cha jian 	插件	c=1 d=1 t=13924
cha shou 	查收	c=6 d=1 t=19033
cha ya 	差压	c=1 d=1 t=16823
chai 	拆	c=4 d=1 t=24086
chai 	柴	c=1 d=1 t=16197
chai chu 	拆除	c=1 d=1 t=6802
chai gai 	拆改	c=2 d=1 t=15258
chai jie 	拆解	c=1 d=1 t=12447
chai kai 	拆开	c=1 d=1 t=17902
chai xie 	拆卸	c=1 d=1 t=14569
chai zi 	拆字	c=1 d=1 t=208
chan 	产	c=1 d=1 t=8350
chan huo 	掺和	c=1 d=1 t=14333
chan pin 	产品	c=14 d=3.71077 t=24417
chan wu 	产物	c=1 d=1 t=25142
chang 	常	c=2 d=1.96079 t=11477
chang 	长	c=7 d=1.00005 t=24291
chang an 	长安	c=4 d=2.25087 t=20115
chang chang 	尝尝	c=2 d=1 t=27918
chang di 	场地	c=1 d=1 t=9346
chang du 	长度	c=2 d=1.00062 t=22102
chang fang 	厂房	c=1 d=1 t=24261
chang gui 	常规	c=2 d=1 t=15495
chang jia 	厂家	c=36 d=2.12547 t=25802
chang jing 	肠镜	c=2 d=1.90937 t=24009
chang qi 	长期	c=2 d=1.00003 t=27412
chang sha 	长沙	c=3 d=1 t=22569
chao 	吵	c=2 d=1 t=28233
chao 	抄	c=7 d=1.36115 t=24658
chao 	超	c=1 d=1 t=3328
chao di wen 	超低温	c=3 d=2.86018 t=3323
chao gu 	炒股	c=2 d=1 t=23405
chao guo 	超过	c=5 d=1.96079 t=27657
chao jia 	吵架	c=1 d=1 t=19387
chao sheng bo 	超声波	c=1 d=1 t=27137
chao shi 	超市	c=1 d=1 t=34
chao song 	抄送	c=2 d=1 t=10599
chao xian 	朝鲜	c=1 d=1 t=1437
chao yang 	朝阳	c=1 d=1 t=9264
che 	撤	c=2 d=1 t=19380
che 	车	c=15 d=1 t=27267
che biao 	车标	c=1 d=1 t=21836
che di 	彻底	c=1 d=1 t=23094
che hui 	撤回	c=1 d=1 t=25407
che ku 	车库	c=7 d=1.00001 t=28033
chen 	陈	c=29 d=1.00365 t=28216
chen mo 	沉没	c=1 d=1 t=13708
chen mo 	沉默	c=1 d=1 t=13703
chen shi xiong 	陈世雄	c=6 d=1.22313 t=20861
chen xing 	辰星	c=1 d=1 t=11242
chen zhu qi 	沉住气	c=1 d=1 t=27719
cheng 	城	c=1 d=1 t=23408
cheng 	成	c=15 d=1.02237 t=24415
cheng ben 	成本	c=15 d=1.00001 t=28397
cheng du 	成都	c=1 d=1 t=23224
cheng du 	程度	c=1 d=1 t=26049
cheng fa 	乘法	c=1 d=1 t=21845
cheng gong 	成功	c=2 d=1 t=21802
cheng guo 	成果	c=2 d=1 t=24840
cheng hu 	称呼	c=1 d=1 t=10244
cheng jiao 	成交	c=2 d=1 t=21128
cheng qiang 	城墙	c=1 d=1 t=24254
cheng shi 	城市	c=1 d=1 t=13347
cheng shu 	成熟	c=1 d=1 t=8353
cheng tao 	成套	c=1 d=1 t=18211
cheng xiang 	成像	c=1 d=1 t=15694
cheng xu 	程序	c=2 d=1 t=21794
cheng zhong zhi cheng 	城中之城	c=1 d=1 t=22064
chi 	吃	c=20 d=1.02812 t=27804
chi 	池	c=4 d=1 t=19963
chi bu chi 	吃不吃	c=1 d=1 t=26576
chi cun 	尺寸	c=9 d=1.00001 t=22483
chi de 	吃的	c=1 d=1 t=22002
chi fan 	吃饭	c=6 d=1 t=22705
chi he 	吃喝	c=1 d=1 t=15171
chi rou 	吃肉	c=1 d=1 t=11631
chi shui 	池水	c=1 d=1 t=998
chi wan 	吃完	c=1 d=1 t=21390
chi xu 	持续	c=1 d=1 t=3759
chi yao 	吃药	c=1 d=1 t=24036
chong 	重	c=1 d=1 t=14460
chong dian 	充电	c=2 d=1.94176 t=17592
chong dian zhuang 	充电桩	c=1 d=1 t=17613
chong fu 	重复	c=4 d=1 t=25277
chong man 	充满	c=1 d=1 t=9888
chong tu 	冲突	c=3 d=1 t=27358
chong xi 	冲洗	c=1 d=1 t=6951
chong xin 	重新	c=10 d=1 t=22316
chong yu 	充裕	c=1 d=1 t=22023
chong zhi 	重制	c=2 d=1.98511 t=11673
chou chang 	惆怅	c=1 d=1 t=17320
chou kai 	筹开	c=18 d=1.00459 t=20611
chou kai hui 	筹开会	c=3 d=1 t=19511
chou kuan 	筹款	c=5 d=1.11192 t=19510
chu 	出	c=101 d=3.1661 t=27656
chu 	厨	c=1 d=1 t=5568
chu 	处	c=8 d=2.59783 t=20800
chu 	础	c=1 d=1 t=25516
chu bu 	初步	c=2 d=1 t=8839
chu chai 	出差	c=4 d=1 t=22674
chu fa 	出发	c=9 d=1 t=27564
chu fang 	厨房	c=71 d=1.07046 t=26716
chu feng 	出风	c=2 d=1.66034 t=20818
chu feng liang 	出风量	c=1 d=1 t=25555
chu ji 	出击	c=3 d=1.0153 t=13263
chu ju 	厨具	c=1 d=1 t=10667
chu kou 	出口	c=3 d=1.91851 t=22294
chu lai 	出来	c=50 d=1 t=27221
chu le 	除了	c=2 d=1 t=18560
chu li 	出力	c=3 d=1.94952 t=15818
chu li 	处理	c=23 d=1.00243 t=26267
chu men 	出门	c=4 d=1 t=26147
chu qiang 	出墙	c=2 d=1 t=15303
chu qu 	出去	c=7 d=1 t=26139
chu ru 	出入	c=1 d=1 t=8001
chu shi 	出事	c=1 d=1 t=9513
chu shi 	初始	c=1 d=1 t=4321
chu shi 	除湿	c=1 d=1 t=21752
chu shou 	出手	c=1 d=1 t=15028
chu shui 	出水	c=1 d=1 t=3341
chu si 	处死	c=1 d=1 t=13193
chu tou 	出头	c=1 d=1 t=2048
chu tu 	出图	c=4 d=1.00279 t=13944
chu tu 	出土	c=1 d=1 t=11692
chu wan 	出完	c=1 d=1 t=7554
chu xi 	厨洗	c=4 d=1.05965 t=19222
chu xian 	出现	c=5 d=1.0088 t=16337
chu xu 	储蓄	c=1 d=1 t=14721
chu yan 	出演	c=1 d=1 t=5836
chu yu 	厨余	c=3 d=1 t=23127
chu zhong 	初中	c=2 d=1.86071 t=8324
chu zu 	出租	c=1 d=1 t=10763
chuan 	传	c=6 d=1.01168 t=27518
chuan 	穿	c=7 d=1 t=27528
chuan dao 	传导	c=1 d=1 t=13318
chuan di 	传递	c=1 d=1 t=13895
chuan gan qi 	传感器	c=4 d=1 t=24573
chuan liu 	串流	c=2 d=1.29376 t=24559
chuan tong 	传统	c=3 d=1 t=24912
chuan yi 	传译	c=3 d=2.92644 t=248
chuang 	窗	c=1 d=1 t=20764
chuang jian 	创建	c=1 d=1 t=21806
chuang kou 	窗口	c=1 d=1 t=18532
chuang lian 	窗帘	c=1 d=1 t=7045
chui 	吹	c=1 d=1 t=9534
chui bi 	垂壁	c=4 d=1.89137 t=16484
chui feng 	吹风	c=1 d=1 t=11226
chui shui 	吹水	c=1 d=1 t=16358
chun 	春	c=2 d=1.22878 t=11356
chun 	淳	c=1 d=1 t=21765
chun 	纯	c=1 d=1 t=9338
chun jie 	春节	c=1 d=1 t=15610
chun yun 	春运	c=1 d=1 t=15631
ci 	此	c=1 d=1 t=18441
ci 	茨	c=1 d=1 t=12928
ci chu 	此处	c=3 d=1 t=27665
ci dian 	词典	c=2 d=1 t=28061
ci hou 	伺候	c=1 d=1 t=13613
ci lei 	此类	c=1 d=1 t=27814
ci shu 	次数	c=2 d=1 t=24033
ci xiang 	此项	c=1 d=1 t=13084
cong 	从	c=21 d=1 t=27910
cong ci 	从此	c=1 d=1 t=24812
cong lai 	从来	c=4 d=1 t=27290
cong xin 	从新	c=1 d=1 t=1025
cu 	粗	c=1 d=1 t=2018
cu si 	猝死	c=1 d=1 t=12331
cu xiao 	促销	c=1 d=1 t=13700
cui 	催	c=8 d=1.00026 t=21277
cui 	崔	c=1 d=1 t=26540
cui cui 	催催	c=1 d=1 t=25021
cun 	存	c=3 d=1 t=16649
cun zai 	存在	c=2 d=1 t=23731
cuo 	错	c=5 d=1 t=24322
cuo shi 	措施	c=5 d=1.06788 t=24315
da 	大	c=81 d=1.29965 t=27958
da 	打	c=29 d=1.75288 t=23606
da 	达	c=1 d=1 t=3916
da bao 	打包	c=2 d=1.956 t=24767
da bian 	大便	c=2 d=1.97045 t=24032
da bing 	大病	c=1 d=1 t=13627
da dao 	大道	c=1 d=1 t=17149
da dao 	达到	c=2 d=1 t=24676
da di 	大帝	c=1 d=1 t=24820
da fen 	打分	c=2 d=1.84366 t=23181
da feng shou 	大丰收	c=1 d=1.09501 t=7087
da fu 	答复	c=2 d=1 t=5602
da gai 	大概	c=7 d=1.64404 t=28122
da ge 	大哥	c=4 d=1.01511 t=21281
da hui 	大会	c=1 d=1 t=19853
da ji 	打击	c=1 d=1 t=13357
da jia 	大家	c=1 d=1 t=6314
da jia 	打架	c=1 d=1 t=3685
da kai fu jian 	打开附件	c=0 d=0.1 t=7086
da kuo hao 	大括号	c=1 d=1 t=27068
da lao 	大佬	c=3 d=1.98511 t=13662
da liang 	大量	c=2 d=1 t=25849
da lu 	大陆	c=1 d=1 t=12438
da ma 	大妈	c=1 d=1 t=9271
da pian 	大片	c=1 d=1 t=2280
da ping 	大屏	c=2 d=1 t=27353
da qiang zi 	大强子	c=1 d=1 t=3620
da rao 	打扰	c=4 d=1 t=25641
da shi 	大师	c=1 d=1 t=11948
da shu 	大叔	c=2 d=1 t=11947
da suan su 	大蒜素	c=1 d=1 t=19352
da tang 	大堂	c=1 d=1 t=9530
da tou 	大头	c=1 d=1 t=12436
da tu 	大图	c=2 d=1.00405 t=8182
da xiao 	大小	c=3 d=1 t=4827
da xie 	大写	c=1 d=1 t=6560
da xue 	大学	c=1 d=1 t=17046
da xue 	大雪	c=1 d=1 t=16833
da yang 	大样	c=8 d=1 t=24554
da yi 	答疑	c=5 d=1.00005 t=27894
da yin 	打印	c=2 d=1.38674 t=7824
da yu 	大于	c=3 d=1 t=26543
da yu 	大雨	c=1 d=1 t=26545
da zeng 	大增	c=1 d=1 t=26242
da zhe 	打折	c=2 d=1 t=13699
da zhi 	大致	c=1 d=1 t=13850
da zhong 	大众	c=1 d=1 t=3378
da zhuan 	大专	c=2 d=1.93239 t=11781
dai 	代	c=1 d=1 t=12097
dai 	带	c=27 d=1.00001 t=27099
dai 	待	c=2 d=1 t=18370
dai 	戴	c=1 d=1 t=17195
dai fu 	大夫	c=2 d=1 t=23979
dai kuan 	贷款	c=2 d=1 t=27852
dai li 	代理	c=3 d=1.00245 t=12917
dai ling 	带领	c=1 d=1 t=11022
dai ma 	代码	c=8 d=1.00631 t=27133
dai shu 	代数	c=5 d=1.00589 t=9179
dai shu 	袋鼠	c=1 d=1 t=3390
dai xue 	带血	c=1 d=1 t=24027
dai yu 	待遇	c=1 d=1 t=19860
dai zhe 	待着	c=1 d=1 t=16922
dan 	丹	c=1 d=1 t=21764
dan 	单	c=4 d=1 t=28202
dan ceng 	单层	c=1 d=1 t=2421
dan du 	单独	c=5 d=1 t=22677
dan hao 	单号	c=2 d=1.98511 t=6488
dan jia 	单价	c=1 d=1 t=21077
dan mai 	丹麦	c=1 d=1 t=21740
dan pai 	单排	c=1 d=1 t=16962
dan shi 	但是	c=20 d=1.34473 t=25040
dan wei 	单位	c=44 d=2.94126 t=28363
dan wu 	耽误	c=1 d=1 t=6313
dan xin 	担心	c=5 d=1.98511 t=28019
dan yuan ge 	单元格	c=1 d=1 t=23921
dan yuan lou 	单元楼	c=1 d=1 t=21364
dan zi 	胆子	c=1 d=1 t=22760
dang 	党	c=1 d=1 t=5222
dang 	当	c=5 d=1 t=25331
dang chang 	当场	c=1 d=1 t=17489
